Legacy_Name,glyph_name,ps_name,USV,Dir,DesignerOrder,fonts,base,Glyphsbase,above,below,center,ring,through,aboveLeft,MirrorGlyph,UnicodeVer,old name / comment,bcp47tags,OTLang,Feat,MarkGroup
C,C,C,0043,,82,*,,,,,,,,,,,,,,,
D,D,D,0044,,83,*,,,,,,,,,,,,,,,
E,E,E,0045,,84,*,,,,,,,,,,,,,,,
F,F,F,0046,,85,*,,,,,,,,,,,,,,,
G,G,G,0047,,86,*,,,,,,,,,,,,,,,
H,H,H,0048,,87,*,,,,,,,,,,,,,,,
I,I,I,0049,,88,*,,,,,,,,,,,,,,,
J,J,J,004A,,89,*,,,,,,,,,,,,,,,
K,K,K,004B,,90,*,,,,,,,,,,,,,,,
L,L,L,004C,,91,*,,,,,,,,,,,,,,,
M,M,M,004D,,92,*,,,,,,,,,,,,,,,
N,N,N,004E,,93,*,,,,,,,,,,,,,,,
O,O,O,004F,,94,*,,,,,,,,,,,,,,,
P,P,P,0050,,95,*,,,,,,,,,,,,,,,
Q,Q,Q,0051,,96,*,,,,,,,,,,,,,,,
R,R,R,0052,,97,*,,,,,,,,,,,,,,,
S,S,S,0053,,98,*,,,,,,,,,,,,,,,
T,T,T,0054,,99,*,,,,,,,,,,,,,,,
U,U,U,0055,,100,*,,,,,,,,,,,,,,,
V,V,V,0056,,101,*,,,,,,,,,,,,,,,
W,W,W,0057,,102,*,,,,,,,,,,,,,,,
X,X,X,0058,,103,*,,,,,,,,,,,,,,,
Y,Y,Y,0059,,104,*,,,,,,,,,,,,,,,
Z,Z,Z,005A,,105,*,,,,,,,,,,,,,,,
bracketleft,bracketleft,bracketleft,005B,,106,*,,,,,,,,,bracketright,,,,,,
bracketright,bracketright,bracketright,005D,,107,*,,,,,,,,,bracketleft,,,,,,
backslash,backslash,backslash,005C,,108,*,,,,,,,,,,,,,,,
underscore,underscore,underscore,005F,,109,*,,,,,,,,,,,,,,,
a,a,a,0061,,110,*,,,,,,,,,,,,,,,
b,b,b,0062,,111,*,,,,,,,,,,,,,,,
c,c,c,0063,,112,*,,,,,,,,,,,,,,,
d,d,d,0064,,113,*,,,,,,,,,,,,,,,
e,e,e,0065,,114,*,,,,,,,,,,,,,,,
f,f,f,0066,,115,*,,,,,,,,,,,,,,,
g,g,g,0067,,116,*,,,,,,,,,,,,,,,
h,h,h,0068,,117,*,,,,,,,,,,,,,,,
i,i,i,0069,,118,*,,,,,,,,,,,,,,,
j,j,j,006A,,119,*,,,,,,,,,,,,,,,
k,k,k,006B,,120,*,,,,,,,,,,,,,,,
l,l,l,006C,,121,*,,,,,,,,,,,,,,,
m,m,m,006D,,122,*,,,,,,,,,,,,,,,
n,n,n,006E,,123,*,,,,,,,,,,,,,,,
o,o,o,006F,,124,*,,,,,,,,,,,,,,,
p,p,p,0070,,125,*,,,,,,,,,,,,,,,
q,q,q,0071,,126,*,,,,,,,,,,,,,,,
r,r,r,0072,,127,*,,,,,,,,,,,,,,,
s,s,s,0073,,128,*,,,,,,,,,,,,,,,
t,t,t,0074,,129,*,,,,,,,,,,,,,,,
u,u,u,0075,,130,*,,,,,,,,,,,,,,,
v,v,v,0076,,131,*,,,,,,,,,,,,,,,
w,w,w,0077,,132,*,,,,,,,,,,,,,,,
x,x,x,0078,,133,*,,,,,,,,,,,,,,,
y,y,y,0079,,134,*,,,,,,,,,,,,,,,
z,z,z,007A,,135,*,,,,,,,,,,,,,,,
braceleft,braceleft,braceleft,007B,,136,*,,,,,,,,,braceright,,,,,,
braceright,braceright,braceright,007D,,137,*,,,,,,,,,braceleft,,,,,,
bar,bar,bar,007C,,138,*,,,,,,,,,,,,,,,
asciitilde,asciitilde,asciitilde,007E,,139,*,,,,,,,,,,,,,,,
nobreakspace,nbspace,uni00A0,00A0,,140,*,,,,,,,,,,,,,,,
,nbspace-ar,uni00A0.ar,,,141,MR,,,,,,,,,,,,,,,
exclamdown,exclamdown,exclamdown,00A1,,142,*,,,,,,,,,,,,,,,
cent,cent,cent,00A2,,143,*,,,,,,,,,,,,,,,
sterling,sterling,sterling,00A3,,144,*,,,,,,,,,,,,,,,
currency,currency,currency,00A4,,145,*,,,,,,,,,,,,,,,
yen,yen,yen,00A5,,146,*,,,,,,,,,,,,,,,
brokenbar,brokenbar,brokenbar,00A6,,147,*,,,,,,,,,,,,,,,
section,section,section,00A7,,148,*,,,,,,,,,,,,,,,
copyright,copyright,copyright,00A9,,149,*,,,,,,,,,,,,,,,
registered,registered,registered,00AE,,150,*,,,,,,,,,,,,,,,
ordfeminine,ordfeminine,ordfeminine,00AA,,151,*,,,,,,,,,,,,,,,
guillemotleft,guillemetleft,guillemotleft,00AB,,152,*,,,,,,,,,guillemotright,,,,,,
,guillemetleft.latn,guillemotleft.latn,,,153,SHL,,,,,,,,,,,,,,,
logicalnot,logicalnot,logicalnot,00AC,,154,*,,,,,,,,,,,,,,,
sfthyphen,softhyphen,uni00AD,00AD,,155,*,,,,,,,,,,,,,,,
degree,degree,degree,00B0,,156,*,,,,,,,,,,,,,,,
plusminus,plusminus,plusminus,00B1,,157,*,,,,,,,,,,,,,,,
asciicircum,asciicircum,asciicircum,005E,,158,*,,,,,,,,,,,,,,,
micro,micro,uni00B5,00B5,,159,*,,,,,,,,,,,,,,,
paragraph,paragraph,paragraph,00B6,,160,*,,,,,,,,,,,,,,,
periodcentered,periodcentered,periodcentered,00B7,,161,*,,,,,,,,,,,,,,,
ordmasculine,ordmasculine,ordmasculine,00BA,,162,*,,,,,,,,,,,,,,,
guillemotright,guillemetright,guillemotright,00BB,,163,*,,,,,,,,,guillemotleft,,,,,,
,guillemetright.latn,guillemotright.latn,,,164,SHL,,,,,,,,,,,,,,,
onesuperior,onesuperior,onesuperior,00B9,,165,*,,,,,,,,,,,,,,,
twosuperior,twosuperior,twosuperior,00B2,,166,*,,,,,,,,,,,,,,,
threesuperior,threesuperior,threesuperior,00B3,,167,*,,,,,,,,,,,,,,,
,foursuperior,uni2074,2074,,168,*,,,,,,,,,,,,,,,
onehalf,onehalf,onehalf,00BD,,169,*,,,,,,,,,,,,,,,
onequarter,onequarter,onequarter,00BC,,170,*,,,,,,,,,,,,,,,
threequarters,threequarters,threequarters,00BE,,171,*,,,,,,,,,,,,,,,
questiondown,questiondown,questiondown,00BF,,172,*,,,,,,,,,,,,,,,
Agrave,Agrave,Agrave,00C0,,173,*,A,A,grave,,,,,,,,,,,,
Aacute,Aacute,Aacute,00C1,,174,*,A,A,acute,,,,,,,,,,,,
Acircumflex,Acircumflex,Acircumflex,00C2,,175,*,A,A,circumflex,,,,,,,,,,,,
Atilde,Atilde,Atilde,00C3,,176,*,A,A,tilde,,,,,,,,,,,,
Adieresis,Adieresis,Adieresis,00C4,,177,*,A,A,dieresis,,,,,,,,,,,,
Aring,Aring,Aring,00C5,,178,*,A,A,ring,,,,,,,,,,,,
AE,AE,AE,00C6,,179,*,,,,,,,,,,,,,,,
Ccedilla,Ccedilla,Ccedilla,00C7,,180,*,C,C,,cedilla,,,,,,,,,,,
Egrave,Egrave,Egrave,00C8,,181,*,E,E,grave,,,,,,,,,,,,
Eacute,Eacute,Eacute,00C9,,182,*,E,E,acute,,,,,,,,,,,,
Ecircumflex,Ecircumflex,Ecircumflex,00CA,,183,*,E,E,circumflex,,,,,,,,,,,,
Edieresis,Edieresis,Edieresis,00CB,,184,*,E,E,dieresis,,,,,,,,,,,,
Igrave,Igrave,Igrave,00CC,,185,*,I,I,grave,,,,,,,,,,,,
Iacute,Iacute,Iacute,00CD,,186,*,I,I,acute,,,,,,,,,,,,
Icircumflex,Icircumflex,Icircumflex,00CE,,187,*,I,I,circumflex,,,,,,,,,,,,
Idieresis,Idieresis,Idieresis,00CF,,188,*,I,I,dieresis,,,,,,,,,,,,
Eth,Eth,Eth,00D0,,189,*,,,,,,,,,,,,,,,
Ntilde,Ntilde,Ntilde,00D1,,190,*,N,N,tilde,,,,,,,,,,,,
Ograve,Ograve,Ograve,00D2,,191,*,O,O,grave,,,,,,,,,,,,
Oacute,Oacute,Oacute,00D3,,192,*,O,O,acute,,,,,,,,,,,,
Ocircumflex,Ocircumflex,Ocircumflex,00D4,,193,*,O,O,circumflex,,,,,,,,,,,,
Otilde,Otilde,Otilde,00D5,,194,*,O,O,tilde,,,,,,,,,,,,
Odieresis,Odieresis,Odieresis,00D6,,195,*,O,O,dieresis,,,,,,,,,,,,
multiply,multiply,multiply,00D7,,196,*,,,,,,,,,,,,,,,
Oslash,Oslash,Oslash,00D8,,197,*,,,,,,,,,,,,,,,
Ugrave,Ugrave,Ugrave,00D9,,198,*,U,U,grave,,,,,,,,,,,,
Uacute,Uacute,Uacute,00DA,,199,*,U,U,acute,,,,,,,,,,,,
Ucircumflex,Ucircumflex,Ucircumflex,00DB,,200,*,U,U,circumflex,,,,,,,,,,,,
Udieresis,Udieresis,Udieresis,00DC,,201,*,U,U,dieresis,,,,,,,,,,,,
Yacute,Yacute,Yacute,00DD,,202,*,Y,Y,acute,,,,,,,,,,,,
Thorn,Thorn,Thorn,00DE,,203,*,,,,,,,,,,,,,,,
germandbls,germandbls,germandbls,00DF,,204,*,,,,,,,,,,,,,,,
agrave,agrave,agrave,00E0,,205,*,a,a,grave,,,,,,,,,,,,
aacute,aacute,aacute,00E1,,206,*,a,a,acute,,,,,,,,,,,,
acircumflex,acircumflex,acircumflex,00E2,,207,*,a,a,circumflex,,,,,,,,,,,,
atilde,atilde,atilde,00E3,,208,*,a,a,tilde,,,,,,,,,,,,
adieresis,adieresis,adieresis,00E4,,209,*,a,a,dieresis,,,,,,,,,,,,
aring,aring,aring,00E5,,210,*,a,a,ring,,,,,,,,,,,,
ae,ae,ae,00E6,,211,*,,,,,,,,,,,,,,,
ccedilla,ccedilla,ccedilla,00E7,,212,*,c,c,,cedilla,,,,,,,,,,,
egrave,egrave,egrave,00E8,,213,*,e,e,grave,,,,,,,,,,,,
eacute,eacute,eacute,00E9,,214,*,e,e,acute,,,,,,,,,,,,
ecircumflex,ecircumflex,ecircumflex,00EA,,215,*,e,e,circumflex,,,,,,,,,,,,
edieresis,edieresis,edieresis,00EB,,216,*,e,e,dieresis,,,,,,,,,,,,
igrave,igrave,igrave,00EC,,217,*,dotlessi,idotless,grave,,,,,,,,,,,,
