Legacy_Name	glyph_name	ps_name	USV	Dir	DesignerOrder	fonts	base	Glyphsbase	above	below	center	ring	through	aboveLeft	MirrorGlyph	UnicodeVer	old name / commet	bcp47tags	OTLang	Feat	MarkGroup
absAlefWavyHamzaAboveFin.postLamIni	alefWavyhamzaabove-ar.postLamIni.fina	uni0672.postLamIni.fina		AL	265	SHL	absAlefFin.postLamIni	alef-ar.postLamIni.fina	_wavyHamza												
absAlefWavyHamzaAboveFin.postLamMed	alefWavyhamzaabove-ar.postLamMed.fina	uni0672.postLamMed.fina		AL	266	SHL	absAlefFin.postLamMed	alef-ar.postLamMed.fina	_wavyHamza												
absAlefWavyHamzaBelow	alefWavyhamzabelow-ar	uni0673	0673	AL	267	SHL	absAlef	alef-ar		_wavyHamza											
absAlefWavyHamzaBelowFin	alefWavyhamzabelow-ar.fina	uni0673.fina		AL	268	SHL	absAlefFin	alef-ar.fina		_wavyHamza											
absAlefWavyHamzaBelowFin.postLamIni	alefWavyhamzabelow-ar.postLamIni.fina	uni0673.postLamIni.fina		AL	269	SHL	absAlefFin.postLamIni	alef-ar.postLamIni.fina		_wavyHamza											
absAlefWavyHamzaBelowFin.postLamMed	alefWavyhamzabelow-ar.postLamMed.fina	uni0673.postLamMed.fina		AL	270	SHL	absAlefFin.postLamMed	alef-ar.postLamMed.fina		_wavyHamza											
absAlefMaddaAbove	alefMadda-ar	uni0622	0622	AL	271	SHLM	absAlef	alef-ar	_madda												
absAlefMaddaAboveFin	alefMadda-ar.fina	uni0622.fina		AL	272	SHLM	absAlefFin	alef-ar.fina	_madda												
absAlefMaddaAboveFin.postLamIni	alefMadda-ar.postLamIni.fina	uni0622.postLamIni.fina		AL	273	SHLM	absAlefFin.postLamIni	alef-ar.postLamIni.fina	_madda												
absAlefMaddaAboveFin.postLamMed	alefMadda-ar.postLamMed.fina	uni0622.postLamMed.fina		AL	274	SHLM	absAlefFin.postLamMed	alef-ar.postLamMed.fina	_madda												
absAlefMaddaAbove.small	alefMadda-ar.small	uni0622.small		AL	275	SH	absAlef	alef-ar	_madda.small											cv60=1	
absAlefMaddaAboveFin.small	alefMadda-ar.small.fina	uni0622.small.fina		AL	276	SH	absAlefFin	alef-ar.fina	_madda.small											cv60=1	
absAlefMaddaAboveFin.postLamIni.small	alefMadda-ar.postLamIni.small.fina	uni0622.postLamIni.small.fina		AL	277	SH	absAlefFin.postLamIni	alef-ar.postLamIni.fina	_madda.small											cv60=1	
absAlefMaddaAboveFin.postLamMed.small	alefMadda-ar.postLamMed.small.fina	uni0622.postLamMed.small.fina		AL	278	SH	absAlefFin.postLamMed	alef-ar.postLamMed.fina	_madda.small											cv60=1	
absAlefWasla	alefWasla-ar	uni0671	0671	AL	279	SHL	absAlef	alef-ar	_wasla												
absAlefWaslaFin	alefWasla-ar.fina	uni0671.fina		AL	280	SHL	absAlefFin	alef-ar.fina	_wasla												
absAlefWaslaFin.postLamIni	alefWasla-ar.postLamIni.fina	uni0671.postLamIni.fina		AL	281	SHL	absAlefFin.postLamIni	alef-ar.postLamIni.fina	_wasla												
